latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,condition
0.63725084,-0.2896324,-1.3276819,-0.4363732,0.2722976,-0.7699474,0.318038,0.8439712,-0.5072889,-0.063725084,-0.37618783,1.5108308,0.14233376,0.8860533,0.10552201,-0.40658402,1.165086,0.5880846,1.393167,0.953019,1.7326009,0.65867835,-0.05032888,0.118174106,-0.15961722,0.15177514,-0.2843272,-0.16999073,-0.7388083,1.1185578,0.30708265,-0.55890465,CKD
-0.084702745,-0.086510226,-1.5879568,0.64367217,-0.053997897,-0.23978966,0.30730325,-0.036824588,-0.3172562,0.20079204,-0.798122,1.4041622,-0.5916657,0.87471765,0.9160386,-0.80224884,0.8684402,0.05037184,0.6656348,0.19886582,1.2829143,0.65620625,0.2563246,1.0052555,-0.40895352,0.9771241,0.1492312,0.84741515,-0.32934433,1.8151158,0.93331414,-0.57754076,AKI
-0.6990121,-0.6943844,-1.404141,0.8847242,-0.05836066,-0.94892514,-0.03972849,0.3689709,-0.27163193,-0.07886039,-0.5212955,1.2872679,-0.4141918,0.7559787,0.6573158,-1.1022674,0.94835746,0.39535254,0.6490509,0.54065824,0.9245209,0.54032624,0.37324065,1.0120339,-0.6601907,0.88332725,0.43413135,1.5706451,-1.0153394,2.0748165,1.5055264,-0.78978,AKI
-0.6233313,0.44215208,-0.61793053,1.8754991,0.34629387,0.793083,3.3549576,-0.7694569,-0.08605587,2.3648784,-1.6846672,2.1895626,-1.1924193,0.623254,3.059891,-0.32490915,0.9852228,-0.7026494,-1.5992573,-0.08013704,2.0091279,0.94388956,-0.31116468,2.5174754,-2.1697195,0.10980679,0.5226512,1.685301,1.8265765,1.5751603,2.4324114,-1.2415241,AKI
-0.5469005,-2.494954,-1.2743329,1.424996,-1.3839567,-2.7243726,0.24916239,1.0173988,-1.0441358,-1.5001166,-1.2939514,0.79850036,0.19461097,-0.45136774,0.8755579,-2.673372,1.0361391,1.100349,1.4748484,1.2607999,-0.07775842,2.391264,1.2096529,2.006986,-1.3459518,0.70187634,1.0009142,2.687417,-3.6783192,3.7039917,1.8768619,-1.539113,AKI
1.9939821,0.83045745,-2.0739048,2.7218022,-0.4741574,1.1912647,-0.30908453,-0.64665145,1.5078897,2.3570323,-1.6045007,0.7661631,0.42897898,1.5627027,-0.67220277,0.15295053,-0.9383549,0.59135383,-0.30446285,0.7856672,-0.27437532,-0.36126047,-1.1154714,-1.0099316,-0.54385483,0.31079882,0.083942726,0.69547343,0.7547927,0.16144644,1.0355914,1.4909854,AKI
0.7690143,-1.0403342,-1.5261915,-0.5050587,-0.25612545,-1.1633203,0.6990961,0.7995235,-0.49352494,-0.1863234,-0.8632112,1.7917614,1.0784808,0.5990206,0.22435644,-0.9121741,1.2169589,0.637124,1.6573849,0.93569535,1.4874277,1.1935372,0.09382586,0.367859,-0.54762083,-0.39066717,-0.12869164,-0.01554654,-1.2768857,1.3401886,0.19184586,-0.76626426,CKD
-0.47832787,-1.0729704,-0.32679218,-0.9203536,0.94694126,-1.717714,-0.39671198,1.7303805,-0.31920105,-0.46068883,0.670964,1.1276958,0.3720718,0.62045044,-0.7944784,-0.41453344,1.2652038,1.034097,1.7401959,1.7382358,1.4576755,0.038417157,0.02005456,-0.48945343,-0.19390094,-0.311064,0.03741387,0.08634278,-1.4278785,0.7726129,0.6970136,-0.8162808,Normal
-0.9519609,1.8014488,0.17716202,1.6887056,0.2393505,1.5924037,-2.7168598,-2.2073998,-0.9913181,1.6582928,-0.8394442,0.63270265,1.5012921,-0.0561224,-0.44950292,0.06371565,-2.7199032,0.7169241,0.6529089,0.22478555,-0.52120954,-0.8452251,-0.13431513,-2.5737228,0.45905423,-0.2576516,-1.0369769,2.0464978,2.3562732,-1.0076092,0.26478902,-0.73030776,Normal
0.91791236,1.840647,-0.4929042,2.071885,1.3081388,1.5068575,-1.218316,-0.7993421,0.41599554,2.687071,-0.19468021,0.7971559,0.23698927,1.8552709,-1.0319595,1.5253913,-1.4245076,1.0141286,0.19515727,1.3227757,0.8293603,-1.5045826,-1.2622416,-2.2812078,-0.09822739,-0.5504532,-1.2632084,0.31722307,2.055176,-1.233411,0.9774156,1.0225337,Normal
0.06653975,0.40753862,-1.5137413,0.5826828,-0.36061034,0.44194445,0.021389283,-0.5425576,-0.67204756,0.10041166,-0.9935129,1.1945443,-0.8261509,0.56672674,1.1108729,-0.8374277,0.41971737,-0.16139922,0.768395,-0.09237728,1.1100086,0.82612,0.36130106,0.94589025,0.14518195,1.4657515,-0.15923983,0.6188647,-0.003938038,1.6644355,0.56933916,-0.7824682,AKI
1.4109945,0.71611106,-0.8441317,-0.052436143,-0.343446,0.6159118,0.046594363,-0.29330793,-0.3979764,0.5758307,-0.62731457,0.89053553,-0.050414342,0.75193167,0.017501712,0.10390645,0.122250184,0.3443902,1.0445193,0.3494199,1.4337023,0.40536356,0.018964749,-0.18281198,0.2988112,0.24428794,-1.0175817,-0.59647065,0.34705862,0.19659798,-0.2287223,-0.08866579,CKD
-0.16391703,0.33753657,-1.1949878,0.06919877,0.5004543,-0.29677767,0.09456157,0.19862267,-1.0850366,0.28965813,-0.38235307,1.4269315,-0.6103036,1.0124283,0.8898323,-0.08271839,0.8603624,0.48685652,1.0376304,0.54295045,1.8059318,0.33763465,0.2607968,0.2930547,-0.051416524,0.60969335,-0.6828537,0.33669278,0.17464654,1.33038,0.72766966,-0.871271,CKD
-0.56197613,0.025816165,-0.6283878,-0.7628952,0.9921342,-0.8894201,-0.652528,0.7529456,-1.1586876,0.301275,0.036047645,1.6686331,0.2558305,0.95315063,0.01756043,0.37428123,1.001037,1.184504,1.6474534,1.2741312,1.9405973,-0.36470383,0.10796427,-1.0321922,0.0664462,-0.11273669,-1.2228277,0.30572435,-0.042377364,0.52245194,0.77133656,-1.4229614,Normal
