gene,mean_expr_AKI,mean_expr_CKD,mean_expr_Normal
COX7C,5.637889862060547,5.346790790557861,10.751935005187988
FTH1,17.3594913482666,12.996720314025879,20.093568801879883
ARPC3,1.578341007232666,1.2113076448440552,1.45872163772583
UBL5,3.119818925857544,3.282290458679199,4.8765716552734375
CYBA,3.7925448417663574,2.012117862701416,1.4159661531448364
MYL12A,2.2773499488830566,1.8414334058761597,2.5849859714508057
MGST3,2.922287702560425,3.0945746898651123,3.6994242668151855
RPL23,2.0508244037628174,1.8888744115829468,2.9807560443878174
RNF213,0.5907686352729797,0.322472482919693,0.26665782928466797
S100A1,0.6822863817214966,0.4166576564311981,0.1695704311132431
RHOB,0.9624723196029663,0.9085034132003784,2.0553643703460693
COX7A2,2.644925832748413,2.529773712158203,4.441020965576172
SLC25A3,2.1643354892730713,1.8513561487197876,3.2925052642822266
S100A11,7.798908233642578,5.977409362792969,4.767601490020752
TMBIM6,2.673936605453491,2.749431848526001,3.691627025604248
EEF1A1,20.624706268310547,19.423067092895508,28.939258575439453
ATP5IF1,2.0571446418762207,1.6960200071334839,2.0631985664367676
ZFAND5,0.42794185876846313,0.3780859410762787,1.8193161487579346
PAXX,0.4694500267505646,0.31883829832077026,0.2462693154811859
RPS6,7.178844928741455,6.294063091278076,8.963106155395508
UMOD,16.245742797851562,17.30571746826172,30.866914749145508
CRYAB,3.7744672298431396,2.3402915000915527,2.6434950828552246
COX14,1.0155845880508423,0.8884801268577576,1.3211650848388672
TMEM176A,1.164372205734253,1.0504614114761353,0.763815701007843
H3F3A,3.560335397720337,3.4736645221710205,4.358260631561279
CDH16,1.9155771732330322,2.1817245483398438,2.7666802406311035
EIF1AX,0.5142915844917297,0.6700125932693481,1.0518512725830078
DPM3,0.6915096640586853,0.8098753690719604,1.2217947244644165
RPS15,10.060535430908203,8.673773765563965,12.012495994567871
IGFBP7,12.13074016571045,10.627105712890625,13.61624813079834
HNRNPA1,1.5681309700012207,1.5865834951400757,2.4308671951293945
ST13,1.0500690937042236,1.1874680519104004,1.6774441003799438
EIF4A2,1.056706428527832,1.1029940843582153,1.588159203529358
RTN4,2.1313631534576416,2.9849085807800293,4.082394123077393
LGALS3BP,0.6794566512107849,0.628321647644043,0.6713205575942993
