gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
SPINT2,CKD,0.009289308,8.948886784716105,399,300,247
RPS24,CKD,0.009279375,256.78080662792524,55,300,248
CALM3,CKD,0.009260203,1.3890868023872205,1144,300,249
YBX1,CKD,0.009250664,7.09223403438501,445,300,250
BBOX1,CKD,0.009218006,2.7377623417331702,748,300,251
MAF,CKD,0.009197578,0.8088171370985362,1612,300,252
TMSB10,CKD,0.009170941,375.88867625011227,37,300,253
ITM2C,CKD,0.009165351,9.402775786712244,391,300,254
ATP6AP2,CKD,0.009163196,10.554590236148538,359,300,255
RPS3,CKD,0.009068665,102.69293829972955,99,300,256
GUK1,CKD,0.0090683475,6.249381120417096,473,300,257
S100A10,CKD,0.009065006,64.26342398432324,134,300,258
CYC1,CKD,0.009032762,2.5803192496731797,776,300,259
FN1,CKD,0.009032341,7.783091197685795,422,300,260
SERBP1,CKD,0.009014304,1.4594365619940293,1099,300,261
FAU,CKD,0.008995031,92.73601170852339,105,300,262
UBE2B,CKD,0.008992868,1.3379484088612144,1167,300,263
RABAC1,CKD,0.008989666,3.091664250389999,691,300,264
IER2,CKD,0.008974114,28.231273063542773,205,300,265
PSAP,CKD,0.008929935,5.70783714256755,491,300,266
CITED2,CKD,0.008926546,1.0465298339456788,1349,300,267
CAPG,CKD,0.0088573145,4.886063933934137,533,300,268
GNB2L1,CKD,0.008836357,10.165218469452533,368,300,269
UBC,CKD,0.008831724,30.79456438947431,189,300,270
LNPEP,CKD,0.008781259,0.5297251195435039,2177,300,271
CD9,CKD,0.008722072,49.98560345310387,146,300,272
JUND,CKD,0.008694178,29.393581386119394,199,300,273
LINC00472,CKD,0.008691477,0.49079394630121603,2305,300,274
CAT,CKD,0.008674721,1.2068341263209095,1241,300,275
RPS8,CKD,0.008650409,136.0014333457641,79,300,276
CIRBP,CKD,0.008647176,5.38019178181332,507,300,277
CALR,CKD,0.008619756,5.956494571740702,482,300,278
HNRNPA1,CKD,0.0086072525,6.462873546303893,465,300,279
KRT18,CKD,0.008600363,42.553423869399786,157,300,280
SERPING1,CKD,0.008563995,2.7695536466963446,742,300,281
SUCLG1,CKD,0.008524403,5.836604230786048,486,300,282
GNAS,CKD,0.008471497,17.891323387141462,260,300,283
GNAI2,CKD,0.008456316,1.4149701235525045,1121,300,284
RHOBTB3,CKD,0.008455768,2.4471317887437483,801,300,285
UXS1,CKD,0.008409527,0.5617855940705432,2099,300,286
RPS3A,CKD,0.008403635,154.84591774264743,73,300,287
LGALS3BP,CKD,0.008379345,1.4340094324916421,1115,300,288
MARCKS,CKD,0.008355962,1.72579679301841,993,300,289
RPL8,CKD,0.008337858,163.056775113247,70,300,290
COX7A1,CKD,0.008325673,6.2976786952562245,471,300,291
MAL,CKD,0.008290176,30.656748720174928,191,300,292
LMAN1,CKD,0.00823652,1.345860250365411,1163,300,293
ANXA4,CKD,0.008217614,4.3239645396137405,576,300,294
RPL23,CKD,0.00821689,8.755903933572466,402,300,295
DBI,CKD,0.008183735,18.682100441617575,257,300,296
HLA-A,CKD,0.008180962,15.775619875246708,281,300,297
TACSTD2,CKD,0.008176754,14.260163276844214,294,300,298
ZFP36,CKD,0.008174082,11.903839502036947,332,300,299
COPE,CKD,0.008172781,2.075066824721211,885,300,300
GAS6,CKD,0.008159325,1.2226889124497988,1230,300,301
ATP5MD,CKD,0.008150748,23.091786762831738,231,300,302
MZT2B,CKD,0.00814738,4.834322119879909,537,300,303
CUTA,CKD,0.008140421,4.5266043454807265,562,300,304
ATP5F1B,CKD,0.00813611,11.976923921660829,331,300,305
ATP5F1E,CKD,0.008117244,68.57512318044834,128,300,306
CYSTM1,CKD,0.008112317,29.176527518341963,203,300,307
CYBA,CKD,0.008090195,21.344551444210538,238,300,308
MYL6,CKD,0.008081812,69.61288664317613,127,300,309
SRP14,CKD,0.00806135,38.67641832008515,171,300,310
CXCL12,CKD,0.008055419,2.5317340208864514,787,300,311
PFN1,CKD,0.008041583,27.362814952445518,208,300,312
SEPT2,CKD,0.0080277715,1.2358833396850262,1221,300,313
