gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
DYNLL1,Normal,0.01998837,17.131284928563435,264,300,274
NDUFS4,Normal,0.019986523,0.9913677718831158,1395,300,275
CDH16,Normal,0.019979516,16.97364966140164,266,300,276
TACC1,Normal,0.019863881,0.7794329944356817,1652,300,277
USMG5,Normal,0.019810501,13.095676140592072,311,300,278
FBXO21,Normal,0.0195229,0.5735900335805034,2070,300,279
RPLP1,Normal,0.019499961,412.0605448037033,36,300,280
VIM,Normal,0.019486435,29.478043733439616,198,300,281
SRSF6,Normal,0.019415027,0.706358455496234,1773,300,282
ACSL1,Normal,0.01939655,0.8711720159764261,1522,300,283
ATP5MPL,Normal,0.019344933,9.535831796275861,387,300,284
RCAN1,Normal,0.01930075,3.3867187625450956,658,300,285
NDUFS6,Normal,0.01924919,6.696720362735892,456,300,286
CD24,Normal,0.019172518,42.84416513856876,156,300,287
UBA52,Normal,0.019159302,22.915191618542345,232,300,288
WDR83OS,Normal,0.019111142,5.370804990852518,509,300,289
KIAA1191,Normal,0.019108893,0.41305315232016987,2618,300,290
EIF4A2,Normal,0.019067463,2.7937048198733767,736,300,291
RPS27A,Normal,0.019052815,220.73041354668402,60,300,292
RASD1,Normal,0.019043267,6.243028481639694,474,300,293
EPAS1,Normal,0.018903509,3.8497223030713372,616,300,294
SELENOW,Normal,0.018902121,4.429505852910635,573,300,295
ATOX1,Normal,0.018887302,5.591244832731364,494,300,296
NDUFA1,Normal,0.018834673,21.69030662362315,235,300,297
GADD45GIP1,Normal,0.01882013,1.7704428337135978,977,300,298
HSPE1,Normal,0.018716251,80.25493740495948,113,300,299
CTSL,Normal,0.018687958,1.4454355903374894,1109,300,300
TSC22D1,Normal,0.018680178,10.2333185970177,367,300,301
SSR4,Normal,0.018668871,15.033356163103361,284,300,302
RPL18,Normal,0.018665947,77.05545182265737,116,300,303
SEC14L1,Normal,0.01865035,1.6703779646354133,1012,300,304
CAT,Normal,0.018616388,1.2068341263209095,1241,300,305
HLA-DRB5,Normal,0.018574568,3.433600541442948,654,300,306
C4orf48,Normal,0.018473204,2.78840700651905,738,300,307
ATP5MF,Normal,0.018391507,8.612208769227463,407,300,308
CDC42,Normal,0.018385902,4.5207361157556445,563,300,309
CXCL14,Normal,0.018371135,25.59497434827886,219,300,310
HSPA8,Normal,0.018333549,11.213243089718452,348,300,311
RPL7,Normal,0.018317979,14.717008400426604,288,300,312
SMDT1,Normal,0.018273868,4.015003488452908,604,300,313
HMGB1,Normal,0.01824111,9.094994320253061,395,300,314
TMSB10,Normal,0.018210748,375.88867625011227,37,300,315
RPL28,Normal,0.018197984,215.28088059299677,62,300,316
ATP5MD,Normal,0.018187094,23.091786762831738,231,300,317
CTSB,Normal,0.018051036,2.779480931359381,740,300,318
DDT,Normal,0.018028079,7.628938443926749,428,300,319
REEP5,Normal,0.017936356,2.5197855191398926,789,300,320
ATP5G2,Normal,0.01792936,7.909965803293829,420,300,321
GLUL,Normal,0.01792009,2.1180137415614704,871,300,322
RPL32,Normal,0.01787719,229.0451152497398,58,300,323
RPL13,Normal,0.017850095,290.5042458654808,48,300,324
S100A2,Normal,0.01772431,550.3244843952272,29,300,325
ATP5E,Normal,0.017632002,29.30533241270392,201,300,326
TMBIM6,Normal,0.017613646,13.850716675255391,301,300,327
RPL8,Normal,0.017582685,163.056775113247,70,300,328
ARHGAP29,Normal,0.0175514,2.0852127689636,880,300,329
SLC25A5,Normal,0.01750478,20.850558236509254,241,300,330
RPS4Y1,Normal,0.017504588,4.333792729805773,575,300,331
CDK2AP2,Normal,0.017395742,3.599880056927729,644,300,332
PAX8,Normal,0.017369328,1.7154028517338318,998,300,333
RPL3,Normal,0.017342886,163.3902329232985,69,300,334
SRP14,Normal,0.01733514,38.67641832008515,171,300,335
ALDOA,Normal,0.017315045,7.349043898339653,434,300,336
HNRNPC,Normal,0.01730383,1.3539144254829665,1159,300,337
RPL7A,Normal,0.01723155,144.3602323465119,78,300,338
UBB,Normal,0.017228343,27.219390877151483,210,300,339
H3F3B,Normal,0.017217288,34.15104639552802,181,300,340
EIF3H,Normal,0.017192481,1.1546892568456757,1278,300,341
TMA7,Normal,0.017124334,25.73341026477415,218,300,342
KNG1,Normal,0.01708225,66.53221676641105,132,300,343
HNRNPU,Normal,0.016996423,2.0518946486149248,894,300,344
KCNJ16,Normal,0.016954953,5.8915030766225716,484,300,345
RNH1,Normal,0.016875584,1.2482234726833503,1216,300,346
RPL30,Normal,0.016866392,158.58425947973566,71,300,347
PCBP1,Normal,0.016711358,2.15100298763614,861,300,348
PNKD,Normal,0.016690612,3.2923044036000433,669,300,349
SSBP1,Normal,0.016672958,1.7890206087349694,968,300,350
SNRPG,Normal,0.016664302,4.224297396893942,586,300,351
COX14,Normal,0.016664064,2.7676714477246964,743,300,352
FOSB,Normal,0.016626898,4.439393526872641,570,300,353
PAIP2,Normal,0.016618289,0.9475261220392588,1437,300,354
PNISR,Normal,0.016374689,1.6903517313578953,1007,300,355
CRYAB,Normal,0.01633347,157.75947090125413,72,300,356
RPL36,Normal,0.016325073,124.25129974171527,89,300,357
MSRB2,Normal,0.016318794,1.1172974283067518,1295,300,358
FAM151A,Normal,0.016288819,0.730175506365385,1733,300,359
RPL19,Normal,0.016229015,153.07189947646458,75,300,360
RPL18A,Normal,0.01622232,100.98353517616661,101,300,361
ASS1,Normal,0.016205402,3.261671796984601,674,300,362
SRP9,Normal,0.01613322,3.775223046874146,621,300,363
TBCB,Normal,0.016117036,0.8462241398464996,1561,300,364
PCK1,Normal,0.016113827,8.694408709689942,404,300,365
GSTK1,Normal,0.01602742,2.196662543548275,853,300,366
MT-ND6,Normal,0.01600135,2.6289364226169707,769,300,367
LSM3,Normal,0.015937144,1.7768196247786432,973,300,368
RARRES3,Normal,0.015929094,5.319625577351457,513,300,369
EIF4A1,Normal,0.015913995,1.5676412018656956,1050,300,370
MPC1,Normal,0.015878726,8.794794464460683,400,300,371
NDFIP1,Normal,0.015843943,1.961876814158363,913,300,372
GOLGB1,Normal,0.015812416,0.9223186416813927,1469,300,373
SEPT7,Normal,0.015736086,1.1793869251462938,1262,300,374
CSRP1,Normal,0.015701754,1.9980100739982096,906,300,375
SLC22A8,Normal,0.015679771,0.9909461083215304,1396,300,376
SELENOM,Normal,0.015648901,5.816937812452348,487,300,377
ADGRG1,Normal,0.015627239,1.8600853831380832,950,300,378
CEBPB,Normal,0.015589611,1.1684753954549647,1271,300,379
HNRNPA2B1,Normal,0.01558314,6.325918980208341,470,300,380
TMEM101,Normal,0.01554252,3.398172007510023,657,300,381
ACAA2,Normal,0.015541697,0.9098065695772434,1479,300,382
SLC40A1,Normal,0.015496254,0.4078321989326733,2647,300,383
DCXR,Normal,0.015489392,8.737345985541362,403,300,384
RPS24,Normal,0.015470183,256.78080662792524,55,300,385
HNRNPDL,Normal,0.015456263,2.3446057854200646,822,300,386
ARHGAP24,Normal,0.015418177,1.368569273210913,1152,300,387
PFDN1,Normal,0.015416983,0.40701953407299774,2652,300,388
SARAF,Normal,0.015344693,1.8980170062782191,932,300,389
ATRAID,Normal,0.015272414,1.8634997257596617,946,300,390
MRP63,Normal,0.015215932,0.9545372711959788,1430,300,391
RPA3,Normal,0.01519292,0.9891108282173225,1398,300,392
EIF3E,Normal,0.01515766,1.4493321522335858,1106,300,393
MECOM,Normal,0.015155026,1.420363579488366,1119,300,394
ATP6AP2,Normal,0.015130345,10.554590236148538,359,300,395
NDUFV3,Normal,0.015090544,0.9082799336319247,1482,300,396
ACTN4,Normal,0.01502748,2.3466192466245035,821,300,397
NAA20,Normal,0.015011427,1.28673686039773,1191,300,398
ATP5J2,Normal,0.014973058,3.9426815038266803,611,300,399
IFITM2,Normal,0.014939103,4.16914948860623,591,300,400
