cell_type,class,gene,combined_score,importance,target_minus_others_mean,abs_target_minus_others_mean,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref
DCT,AKI,GSTK1,0.03888455736533558,0.0728524,0.5337443351745605,0.5337443351745605,1.5066785,0.65971553,1.2861527
DCT,AKI,RPL36,0.03866708181035605,0.02771984,1.3949244022369385,1.3949244022369385,9.253858,4.6061482,11.111718
DCT,AKI,ELOB,0.038331630405998296,0.016909653,2.2668489813804626,2.2668489813804626,4.212043,1.301417,2.5889707
DCT,AKI,NDUFB8.1,0.038110494760284934,0.029321818,-1.2997316597029567,1.2997316597029567,0.0047949376,0.5997706,2.0092826
DCT,AKI,SELM,0.03792848323009202,0.024677983,-1.5369361392222345,1.5369361392222345,0.0047897943,0.58746994,2.495982
DCT,AKI,RPS27,0.037601731191769794,0.045538004,0.8257219791412354,0.8257219791412354,8.896339,5.0598807,11.081354
DCT,AKI,TPT1,0.03721883616303434,0.013506771,2.755568742752075,2.755568742752075,12.193731,5.242663,13.633662
DCT,AKI,RPLP1,0.037015612303190615,0.0110395765,3.352992057800293,3.352992057800293,15.694566,7.5838814,17.099266
DCT,AKI,RSRP1,0.03684820484115062,0.049984816,0.737187959253788,0.737187959253788,0.9940952,0.31387362,0.19994088
DCT,AKI,NIPSNAP2,0.03662437133487084,0.06441011,0.56861212849617,0.56861212849617,0.8643998,0.2933527,0.29822263
DCT,AKI,BCAM,0.03638740393608386,0.014870349,2.4469770789146423,2.4469770789146423,4.0494657,1.1650051,2.039972
DCT,AKI,SEPW1,0.03627652127471819,0.027380431,-1.3249068716540933,1.3249068716540933,0.0023929616,0.55909324,2.0955064
DCT,AKI,TOMM7,0.035910994398280494,0.047306605,-0.7591116428375244,0.7591116428375244,3.1758227,1.8882647,5.981604
DCT,AKI,KL,0.03579498254209057,0.01519551,-2.3556288480758667,2.3556288480758667,1.7173619,2.6327922,5.5131893
DCT,AKI,G0S2,0.035688570971742495,0.029746583,-1.1997536420822144,1.1997536420822144,0.31732363,0.5406331,2.4935215
DCT,AKI,MT-ND6,0.035266844050992674,0.060965747,-0.5784698128700256,0.5784698128700256,1.1769861,1.1829561,2.3279557
DCT,AKI,BTG2,0.03508280900541785,0.030539643,-1.1487629041075706,1.1487629041075706,0.20977251,0.1889546,2.5281162
DCT,AKI,ATP5F1D,0.034685961427459056,0.011921514,2.9095265865325928,2.9095265865325928,5.46825,1.690042,3.4274044
DCT,AKI,PSAP,0.034382722010650735,0.037821464,0.9090796113014221,0.9090796113014221,3.0775595,1.5809125,2.7560472
DCT,AKI,ATP5MD,0.03426059068080273,0.010709711,3.1990209221839905,3.1990209221839905,5.873532,1.8112952,3.5377266
DCT,AKI,GSTM3,0.03416907079430542,0.029547224,-1.1564223766326904,1.1564223766326904,3.9490516,3.0142455,7.1967025
DCT,AKI,LHX1,0.03371595604332045,0.034123953,0.9880436658859253,0.9880436658859253,2.009987,0.8779303,1.1659566
DCT,AKI,FKBP1A,0.03353707206407486,0.06032683,0.5559229999780655,0.5559229999780655,1.2034886,0.49180344,0.80332774
DCT,AKI,JUND,0.0333787645208532,0.033454854,-0.9977256059646606,0.9977256059646606,1.7286658,1.1673987,4.285384
DCT,AKI,RPS23,0.03323364741889012,0.03551477,0.93576979637146,0.93576979637146,12.061416,5.5465474,16.704744
DCT,AKI,GRN,0.0326533738217919,0.048526864,0.6728927195072174,0.6728927195072174,1.3567954,0.5454949,0.8223105
DCT,AKI,RPL3,0.032285700750451785,0.0210538,1.5334856510162354,1.5334856510162354,9.355496,4.4210095,11.223012
DCT,AKI,GSTP1,0.03225890921666563,0.019027252,1.6954056024551392,1.6954056024551392,6.730931,3.390062,6.6809883
DCT,AKI,ATP1A1,0.03213497118588293,0.020363092,1.5780987739562988,1.5780987739562988,16.232492,8.138883,21.169905
DCT,AKI,NR4A1,0.03207836096093201,0.022531707,-1.423698665574193,1.423698665574193,0.073447004,0.04892734,2.945364
DCT,AKI,COL4A4,0.03156754843638776,0.07632403,0.41359907388687134,0.41359907388687134,0.7753272,0.31331614,0.41014013
DCT,AKI,SCNN1A,0.03154161328464733,0.065593526,0.4808647334575653,0.4808647334575653,1.5804441,0.8247196,1.3744391
DCT,AKI,ITGA2,0.031481201375300416,0.051605593,0.6100346744060516,0.6100346744060516,1.0879668,0.4984645,0.45739976
